Round,ActionClass,Setup,Metric,DeltaMetric,Rationale,Insight
90009,Incremental Tuning,refine_eta_central_boost_v001,0.6160,-0.0185,"A tiny multiplicative correction is added to give a modest boost to events that are produced centrally (|η| ≈ 0). This retains the champion's core structure while exploiting the well‑known physics tendency for resonant signal to appear at low pseudorapidity, satisfying the requirement for a small refinement.","Signal resonances from central parton‑level scattering tend to populate low absolute pseudorapidity. A small Gaussian‑shaped boost around |η|=0 gently amplifies these events without drastically reshaping the overall distribution, providing a physics‑motivated fine‑tuning of the scoring."
91008,Incremental Tuning,cumulative_v30006_inc_01,0.6160,-0.0185,"The current champion efficiency (0.6345) suggests room for modest improvement. Incremental tuning applies a small, well‑behaved scaling to the existing base_score, preserving system stability while nudging performance upward.","In many physical models, a slight exponential scaling corresponds to a controlled perturbation of interaction strengths, often yielding linear response improvements without disrupting the underlying dynamics."
90010,Incremental Tuning,cumulative_v30007,0.0000,-0.6345,"A modest multiplicative correction can sharpen the discrimination power without over‑hauling the existing scoring pipeline. By injecting a gentle penalty for events where the three dijet masses deviate collectively from the W‑boson mass, and a tiny boost for high‑pT, central triplets, we stay within the spirit of incremental tuning while targeting known physics features that improve signal purity.","In a genuine W‑pair decay the three dijet masses should each hover around the W‑boson mass (≈80.4 GeV). While the original w_prior accounts for the *closest* dijet mass, events where the other two masses are also far from the target are more background‑like. Adding a soft mass‑consistency factor captures this collective information without dominating the score. Likewise, signal events tend to be central (small |η|) and have higher transverse momentum, so a tiny pt‑dependent boost rewards those configurations. Both adjustments are physics‑driven, keep the original architecture intact, and are deliberately modest to preserve stability while nudging the efficiency upward."
91009,Incremental Tuning,opt_20260422_001,0.6160,-0.0185,"A modest fine-tuning of the existing champion is suitable because the current efficiency (0.6345) suggests there is room for incremental improvement without drastic redesign, allowing us to exploit local gradients in the parameter space.",Physical systems often exhibit exponential sensitivity to small perturbations near an optimum; applying a slight exponential increase can capture marginal gains while preserving system stability.
91010,Cross-Component Attention Shift,cumulative_v30006_cross_shift,0.6160,-0.0185,"Shifting attention across components can uncover synergistic interactions that are not captured by incremental tuning, offering a larger efficiency gain.","In physics, coupling between subsystems can lead to emergent behavior; by rebalancing the focus across components we can harness constructive interference and improve overall performance."
90011,Incremental Tuning,v30007_asym_factor,0.6160,-0.0185,A tiny multiplicative tweak that preserves the overall structure of the champion while adding a physics‑motivated penalty for events where the three dijet invariant masses are widely disparate. This is a classic incremental tuning – we keep the existing high‑performing components and only introduce a modest factor (≲5 %) to nudge the score in the right direction.,In a genuine hadronic top‑quark decay the three jet pairs should have comparable invariant masses because they all stem from the same underlying resonance structure. Large fluctuations among the three dijet masses often signal combinatorial background or mis‑reconstruction. Introducing a modest asymmetry factor therefore subtly down‑weights such pathological candidates without disturbing the well‑tuned core of the champion logic.
91011,Incremental Tuning,opt_incremental_20260422_001,0.6160,-0.0185,"A modest, non-disruptive adjustment to the scaling factor allows us to probe incremental improvements in efficiency while maintaining model stability.","In many physical systems, small changes to parameters (e.g., barrier height or coupling strength) produce a smooth, bounded response. Using tanh(log(...)) mimics this saturation behavior, ensuring the correction stays within a safe range while nudging the efficiency upward."
90012,Cross-Component Attention Shift,csa_shift_20260422_001,0.0000,-0.6345,"The current scoring function treats each physics prior (mass, pairwise mass, ratio, pt, eta) as independent multiplicative factors with fixed weights. However, in three‑body decays the kinematic observables are strongly correlated: the invariant mass resolution depends on the boost (pt), the optimal pairwise mass window shifts with rapidity, and the ratio of pairwise masses varies with the geometry of the decay. A cross‑component attention mechanism lets the contribution of each prior adapt dynamically to the overall event topology, providing a richer, context‑aware discrimination without abandoning the transparent physics‑based formulation.","In a three‑body decay of a heavy resonance (e.g. a Higgs boson decaying to a pair of W bosons and a subsequent lepton), the invariant mass of the full system, the pairwise masses, and the angular ratios are not independent: a boosted system compresses the mass resolution, central rapidities yield more symmetric mass sharing, and the optimal mass windows shift with the event transverse momentum. By letting the exponents (attention weights) be smooth functions of pt, eta, and the observed ratios, the scoring function automatically emphasizes the most reliable discriminants for each kinematic regime, thereby improving the overall selection efficiency while preserving a fully interpretable, physics‑driven form."
91012,Incremental Tuning,inc_opt_20260422_01,0.6160,-0.0185,"A modest, systematic adjustment of the coupling parameter can increase efficiency while preserving model stability.","Slightly strengthening the interaction aligns with the scaling laws of the underlying quantum field, improving energy conversion efficiency."
90013,Incremental Tuning,cumulative_v30007,0.6170,-0.0175,"Incremental tuning adds a tiny, bounded multiplicative factor to the existing champion logic, preserving all well‑tested components while correcting a subtle efficiency rise at higher transverse momentum. This small adjustment is unlikely to destabilize the model but can capture residual PT‑dependence observed in validation studies.","In boosted diboson searches, the reconstruction and selection efficiency tends to increase mildly with the transverse momentum of the three‑body system because of better isolation and detector response for high‑pₜ objects. A gentle tanh‑shaped correction (max ~1.2 %) adds this physics‑driven trend without over‑fitting, preserving the champion's robustness while nudging the score toward the true optimal."
91013,Incremental Tuning,opt_inc_20260422_01,0.6160,-0.0185,Incremental tuning is chosen because the current champion already shows solid efficiency; modest adjustments to existing parameters can nudge performance higher without risking instability.,"A slight reduction in effective friction or loss, analogous to fine‑tuning coupling in a resonant physical system, can enhance energy transfer efficiency and thus improve the overall score."
91014,Cross-Component Attention Shift,opt_shift_20260422_001,0.6160,-0.0185,The current efficiency indicates that inter-component coupling is not fully optimized; shifting attention across components can reveal hidden synergies and improve the overall performance.,Physics insight: Realigning phase relationships and energy flow between subsystems reduces dissipative losses and enhances global efficiency.
91015,Incremental Tuning,inc_tune_20260422_001,0.0088,-0.6257,The current champion exhibits strong baseline performance but shows diminishing returns from large-scale changes. A fine-grained adjustment to the scaling factor can capture subtle physical regularities without destabilizing the model.,"In many physical systems, response functions saturate logarithmically; applying a tanh–log correction gently nudges the score toward optimality while respecting the underlying asymptotic behavior."
90014,Cross-Component Attention Shift,attention_shift_v20260422,0.0000,-0.6345,"The current scoring multiplies independent priors, ignoring higher‑order correlations between kinematic variables such as dijet masses, angular separations, and b‑tag information. A cross‑component attention mechanism dynamically re‑weights each feature based on the full event context, allowing the model to capture subtle inter‑dependencies that are characteristic of top‑quark decay kinematics. This shift is expected to improve discrimination power while remaining interpretable via the learned attention weights.","In the Standard Model the decay t → Wb produces a b‑jet and two jets from the W boson whose invariant masses, opening angles, and flavour‑tag probabilities are tightly correlated. By letting the scoring function attend to the joint configuration of masses, ΔR separations, transverse momentum, and b‑tag scores, we can better approximate the true likelihood of a genuine top‑quark candidate. The attention framework also makes it straightforward to incorporate additional observables (e.g., missing transverse energy or event‑shape variables) in future refinements."
91016,Incremental Tuning,cumulative_v30006_inc_tune_20260422_001,0.6160,-0.0185,Incremental tuning is appropriate because the current champion's efficiency is moderate (0.6345); a small adjustment can likely improve performance without risking destabilizing the system.,"A modest logarithmic boost reflects diminishing returns on efficiency improvements, analogous to incremental energy dissipation reduction in damped oscillators."
90015,Incremental Tuning,cumulative_v30007_mass_balance,0.0000,-0.6345,"Introduce a tiny multiplicative correction that rewards events where the three dijet invariant masses are mutually consistent.  In many benchmark signal models (e.g. cascade decays of heavy resonances to three W/Z/H bosons) the three dijet masses tend to be similar, whereas background combinatorics often produce a larger spread.  Adding a ≤2 % boost for balanced masses preserves stability while offering a modest gain in signal efficiency.","Cascade decays of heavy particles into three resonant bosons produce three dijet systems with comparable invariant masses.  By modestly up‑weighting events where the spread among the three dijet masses is small, we align the scoring with this physics expectation, improving discrimination of signal‑like topologies while keeping the correction tiny enough to avoid over‑fitting."
91017,Incremental Tuning,inc_tune_20260422_01,0.6160,-0.0185,Incremental tuning is appropriate because the current champion's efficiency (0.6345) suggests there is room for modest improvements without destabilizing the existing model architecture.,"Small adjustments to the coupling constants in the simulated quantum system can decrease decoherence effects, thereby modestly raising the overall efficiency."
90016,Incremental Tuning,symm_spread_corr_v01,0.0000,-0.6345,"Add a modest multiplicative boost for events whose three dijet invariant masses are mutually consistent. This respects the existing scoring hierarchy while exploiting the physical expectation that signal topologies produce a relatively narrow spread among the pairwise masses, whereas background combinatorics tend to yield a broader spread.","In hadronic top‑quark decays the three jets originate from a common kinematic configuration, leading to pairwise invariant masses that cluster around the true W‑boson mass and the top mass. Consequently the spread among the three dijet masses tends to be small for signal, while combinatorial background often yields a larger spread. A gentle (~2–3 %) multiplicative correction that rewards a small mass spread captures this physics feature without dominating the existing, well‑tuned priors."
91018,Incremental Tuning,inc_tune_20260422_001,0.0000,-0.6345,"A small multiplicative correction can boost the model's efficiency without destabilizing the learned physics constraints, allowing steady incremental improvement.","In many physical simulations, a modest increase in a coupling parameter (≈1% boost) improves performance while keeping the system in the linear regime, analogous to fine-tuning the timestep for better accuracy without introducing instability."
90017,Incremental Tuning,mass_residual_correction_v301,0.0000,-0.6345,"An incremental tuning step adds a modest, physics‑motivated multiplicative factor to the existing champion score.  The factor encodes the expected invariant‑mass difference between the three‑jet (top) system and the two‑jet (W) subsystem (≈ 92 GeV).  By slightly boosting candidates whose mass residual matches the nominal value and modestly penalising those that do not, we sharpen discrimination with only a few percent effect, preserving the champion’s overall behavior while refining its sensitivity.","In a true t → W b decay the invariant mass of the three‑jet system (the top candidate) exceeds the invariant mass of the two‑jet W candidate by roughly the b‑jet contribution, ≈ 92 GeV.  The champion already rewards a W‑mass‑consistent dijet pair and a top‑mass‑consistent triplet, but it does not explicitly enforce the *difference* between those masses.  Adding a narrowly‑Gaussian residual factor introduces a subtle preference for candidates that respect this kinematic relationship, yielding a small (∼ 2 %) enhancement for signal‑like configurations while leaving background behaviour largely untouched.  This targeted, multiplicative tweak is ideal for an Incremental Tuning step."
91019,Incremental Tuning,inc_opt_20260422_001,0.6160,-0.0185,Incremental tuning fits the current efficiency level; a modest adjustment to the scaling factor can capture subtle physics effects without redesigning the entire system.,"Applying a slight exponential boost compensates for non-linear coupling among field components, improving the model's representation of emergent phenomena while maintaining overall stability."
90018,Incremental Tuning,cumulative_v30007,0.3392,-0.2953,"A modest central‑region boost can improve the discrimination power without overhauling the existing scoring. Adding a tiny multiplicative factor that gently favours triplets with small absolute pseudorapidity leverages the better detector resolution in the barrel, which is a known physics advantage. This is a classic incremental tuning: a single small correction applied after the champion’s full calculation.","Triplets reconstructed near the detector’s central region (|η|≲0.8) benefit from higher tracking efficiency and better calorimeter resolution, leading to sharper invariant‑mass peaks. By applying a gentle Gaussian‑shaped boost to the score for such central events (≈3 % at η=0, fading to unity for forward candidates), we exploit this known experimental advantage while preserving the champion’s sophisticated mass and ratio priors. The correction is deliberately modest to avoid over‑fitting and to retain robustness across differing datasets."
91020,Incremental Tuning,inc_tune_20260422_01,0.6160,-0.0185,"A modest adjustment to the current parameters can capture residual systematic discrepancies without destabilizing the model, aligning with the observed efficiency plateau.","In many physical simulations, exponential damping of parameter updates yields smoother convergence, reflecting natural decay processes and preserving stability while incrementally improving performance."
90019,Cross-Component Attention Shift,opt_shift_attention_20260422,0.0000,-0.6345,"The current champion treats each discriminant (mass prior, ratio, eta) as independent multiplicative factors. In real W‑boson three‑jet decays the pairwise observables (dijet mass, momentum‑ratio and angular separation) are strongly correlated: a pair that is close to the W mass also tends to exhibit the expected ratio and a characteristic ΔR. A cross‑component attention mechanism can dynamically weight each dijet hypothesis based on the joint compatibility of all its features, allowing the scoring to adapt to subtle variations in event topology and improve background rejection.","In genuine W→jj decays the two jets from the same W are not only close to the W mass but also exhibit a characteristic momentum‑ratio (~0.46) and a relatively small angular separation (ΔR≈0.8) due to the boost of the parent boson. Background triplets often satisfy one of these criteria by chance while failing the others. By constructing a per‑pair feature vector and letting a soft‑max attention assign larger weight to the pair that best satisfies *all* three criteria simultaneously, the algorithm dynamically adapts to the event topology. This cross‑component attention captures the physics correlations that are missed by treating each factor independently, leading to a sharper discrimination between signal and combinatorial background."
91021,Incremental Tuning,incremental_20260422_001,0.6160,-0.0185,"A minor fine‑tuning of learning rates and regularization can improve the champion's efficiency without risking over‑correction, making incremental tuning the safest next step.","In statistical physics, a small exponential cooling factor reduces thermal noise, analogous to gently lowering the optimizer's step size to settle into a higher‑efficiency solution."
91022,Incremental Tuning,inc_tune_20260422_001,0.6160,-0.0185,Incremental tuning is chosen because the current champion shows moderate efficiency (0.6345) and a small parameter adjustment can yield quick improvements without major redesign.,"A perturbative analysis suggests that a slight reduction in the interaction strength (modeled by exp(-0.1)) can align the system's resonance more closely with the target mode, enhancing energy transfer efficiency."
90020,Incremental Tuning,v30007_symmetry_boost,0.0000,-0.6345,"Add a modest, physics‑motivated multiplicative boost for events whose three dijet invariant masses are mutually consistent. This is a small correction (≤ ~4 % boost) that refines the champion’s scoring without altering its core structure, fitting the Incremental Tuning action class.","In a genuine three‑body decay the three possible dijet invariant masses should be internally consistent (e.g. all close to the W boson mass). Small detector effects cause residual differences, but events with a tightly clustered set of dijet masses are more signal‑like. By applying a gentle Gaussian boost that rewards low relative spread, we bias the ranking toward physically coherent candidates while preserving the champion’s overall behavior."
91023,Incremental Tuning,incremental_tuning_001,0.6160,-0.0185,"A modest, smooth correction is applied to the current champion's score to nudge performance upward without destabilizing the training dynamics.","In physical systems, response functions often follow sigmoidal forms like tanh, and logarithmic scaling captures diminishing returns; applying this yields a gradual gain proportional to the current efficiency."
90021,Incremental Tuning,v30100_consistencyBoost,0.0000,-0.6345,"The champion already captures the best dijet mass, but the topology expects all three dijet masses to cluster around the W boson mass. Adding a tiny consistency boost provides a smooth, physics‑motivated refinement without altering the core scoring structure.","In the targeted decay topology each of the three dijet pairs should originate from a W boson, so all three invariant masses are expected to be close to 80.4 GeV. The original logic only rewards the single pair nearest to the W mass (w_prior). By introducing a Gaussian consistency term that gently rewards events where *all* three dijet masses are simultaneously near the W mass, we capture additional physical information while keeping the modification small (≤2 % effect). This incremental tweak is designed to improve signal‑to‑background discrimination with minimal risk of over‑fitting."
91024,Cross-Component Attention Shift,opt_step_001,0.6160,-0.0185,"The current efficiency (~0.6345) indicates moderate performance; redirecting attention across components can exploit latent interactions and balance resource allocation, potentially yielding higher composite scores.","In multi-physics simulations, coupling disparate phenomena (e.g., thermo-fluid interactions) often reveals emergent behavior that improves overall fidelity. Shifting focus to inter-component dynamics can capture such effects."
90022,Incremental Tuning,symmetry_correction_v1,0.0000,-0.6345,"Introduce a tiny multiplicative penalty for mass asymmetry among the three pairwise invariant masses. This small correction preserves the overall structure of the champion logic while encouraging more physically consistent, symmetric jet triplets, which are expected from genuine three‑body resonant decays.","In a genuine three‑jet resonance decay the pairwise invariant masses tend to be comparable, reflecting the roughly isotropic kinematics of the decay. Large asymmetries often arise from random combinatorial jet pairings or background processes. By applying a modest (≤2 %) penalty proportional to the relative mass asymmetry, we marginally boost the ranking of physically plausible triplets without drastically altering the existing high‑performing scoring framework."
90023,Incremental Tuning,v30007_symmetry_tune,0.0000,-0.6345,"A small multiplicative correction is added to the existing champion score to gently penalise events where the three pairwise momentum ratios differ significantly. This keeps the overall scoring structure intact while introducing a fine‑grained physics‑motivated bias toward symmetric three‑body decays, which are expected for the signal topology.","In a genuine three‑body resonance decay the momentum sharing among the three final‑state particles tends to be fairly balanced, leading to similar pairwise momentum ratios (ratio_ab, ratio_ac, ratio_bc). Background events or misreconstructed topologies often exhibit pronounced asymmetry in these ratios. By introducing a modest symmetry factor that scales as 1 − 0.04 × average(|Δratio|), we gently suppress such asymmetric configurations without dramatically altering the established scoring hierarchy."
91025,Cross-Component Attention Shift,cross_shift_20260422_001,0.6160,-0.0185,The current efficiency suggests isolated tuning has plateaued; shifting focus to inter-component couplings can reveal emergent dynamics and raise overall performance.,Physics insight: Non-linear interactions between subsystems can generate resonant amplification when phase relationships align; adjusting cross-component coupling strengths can capture these effects.
91026,Incremental Tuning,inc_opt_20260422_001,0.0000,-0.6345,"Incremental tuning is appropriate because the current champion's score (0.6345) indicates moderate performance; a small, mathematically grounded adjustment can improve efficiency while preserving the existing architecture.","A slight increase in the effective coupling constant, modeled by an exponential decay factor, enhances energy transfer fidelity in the simulated system, leading to a higher overall efficiency."
91027,Incremental Tuning,inc_tune_20260422_01,0.0000,-0.6345,Incremental tuning allows fine-grained adjustment of model parameters to capture subtle physics effects and improve efficiency without overhauling the architecture.,"In many physical systems, small perturbations to interaction strengths or time-step sizes can lead to smoother energy conservation and better convergence, which aligns with the incremental tuning approach."
90024,Incremental Tuning,mass_balance_small_corr_v1,0.0000,-0.6345,"Add a modest correction for the second‑best dijet‑mass prior. When two jet pairs both lie near the W boson mass this signals a more plausible three‑jet topology. The factor is limited to a few percent, preserving the incremental nature of the change.","In genuine three‑jet events containing a W→jj decay, not only the closest dijet pair to the W mass but also the next‑closest pair often falls near the same mass due to combinatorial symmetry. A gentle boost for events where the second‑best dijet mass aligns with the W mass captures this subtle correlation without overwhelming the original scoring, offering a small yet physics‑motivated performance gain."
91028,Incremental Tuning,cumulative_v30006_inc001,0.6160,-0.0185,"Since the champion already achieves a decent efficiency of 0.6345, applying a modest exponential scaling to the control parameter can incrementally boost performance while maintaining system stability.","In physical terms, a slight increase in the effective gain (modeled by exp(Δ)) reduces relative losses, enhancing the net conversion efficiency akin to marginally lowering damping in an oscillator."
90025,Incremental Tuning,v30006_incremental_mass_center_001,0.0000,-0.6345,"A tiny, well‑controlled multiplicative factor (≈ ±2 % at its peak) is added to favour triplets whose invariant mass sits near the expected top‑quark mass (≈ 162 GeV). This is a classic incremental tuning: the correction is small enough not to disturb the established priors, ratio, and η factors, yet it sharpens the response to the most signal‑like region of the mass spectrum.","The triplet invariant mass for genuine top‑quark decays is narrowly distributed around ~162 GeV, reflecting the detector’s mass resolution. By applying a modest Gaussian boost centered on this value we give a slight preferential weight to candidates most consistent with the signal hypothesis. The correction is deliberately small (≈ 2 % at the peak) so it refines the classifier without overwhelming the already‑tuned priors, ratio, and η factors, thereby improving signal efficiency while preserving background rejection."
91029,Incremental Tuning,inc_20260422_001,0.6160,-0.0185,"Incremental tuning is chosen to apply a modest, controlled adjustment to the champion's parameters, leveraging the existing high baseline while seeking a smooth boost in efficiency.","Physics insight: a small exponential attenuation mirrors damping in physical systems, enabling fine-grained scaling of the model's response without introducing instability."
90026,Cross-Component Attention Shift,shift_attention_v10001,0.0000,-0.6345,"The current score averages the three dijet‑pair likelihoods, assuming they are equally informative. In reality the most signal‑like pair (the one that best matches a W‑boson decay) can vary event‑by‑event. By introducing a lightweight attention mechanism that learns to weight each pair based on its mass and ratio compatibility, the model can adaptively emphasize the most discriminating pair while still retaining the global priors. This shift is more radical than simple parameter tweaking (Innovation) and changes how components interact (Shift).","In three‑jet events originating from top‑quark decays, only one dijet pair (the W→jj decay) is expected to have a mass near 80 GeV and a characteristic energy‑sharing ratio. The other pair(s) are typically combinatorial background. A fixed average of the three pairwise likelihoods dilutes the signal when only one pair is signal‑like. By computing a softmax‑based attention weight from the joint mass‑and‑ratio compatibility of each pair, the algorithm automatically up‑weights the most W‑like pair on an event‑by‑event basis while down‑weighting the rest. This physics‑driven adaptive weighting should improve discrimination, especially for events with asymmetric kinematics, and thus raise the overall efficiency beyond the current 0.6345."
91030,Incremental Tuning,inc_tune_20260422_01,0.6160,-0.0185,"A small increase in the coupling coefficient should modestly improve energy transfer efficiency without destabilizing the system, leveraging the near‑linear response observed in previous trials.","In resonant harmonic systems, fine‑tuning the damping ratio or phase alignment can raise the quality factor, directly enhancing the overall efficiency measured in the current champion."
91031,Incremental Tuning,opt_inc_cumulative_v30006_20260422,0.6160,-0.0185,A modest exponential scaling adjustment can capture residual physical correlations and improve efficiency without overhauling the model.,"In many physical systems, small exponential enhancements to coupling coefficients reflect higher-order interactions, suggesting a slight increase in the correction factor will raise the overall efficiency."
